Stock File,Total Rows,Duplicate Pairs,Row1,Row2,Date,Action,Qty,Price1,Price2,Cost1,Cost2,Exch1,Exch2
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,12,17,2025-03-06 00:00:00,Buy,1.0,222.25,222.29,222.25,222.29,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,12,18,2025-03-06 00:00:00,Buy,1.0,222.25,222.29,222.25,222.29,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,12,19,2025-03-06 00:00:00,Buy,1.0,222.25,222.34,222.25,222.34,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,13,15,2025-03-06 00:00:00,Buy,1.0,222.3,222.29,222.3,222.29,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,13,16,2025-03-06 00:00:00,Buy,1.0,222.3,222.29,222.3,222.29,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,13,17,2025-03-06 00:00:00,Buy,1.0,222.3,222.29,222.3,222.29,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,13,18,2025-03-06 00:00:00,Buy,1.0,222.3,222.29,222.3,222.29,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,13,19,2025-03-06 00:00:00,Buy,1.0,222.3,222.34,222.3,222.34,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,15,16,2025-03-06 00:00:00,Buy,1.0,222.29,222.29,222.29,222.29,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,15,17,2025-03-06 00:00:00,Buy,1.0,222.29,222.29,222.29,222.29,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,15,18,2025-03-06 00:00:00,Buy,1.0,222.29,222.29,222.29,222.29,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,15,19,2025-03-06 00:00:00,Buy,1.0,222.29,222.34,222.29,222.34,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,16,17,2025-03-06 00:00:00,Buy,1.0,222.29,222.29,222.29,222.29,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,16,18,2025-03-06 00:00:00,Buy,1.0,222.29,222.29,222.29,222.29,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,16,19,2025-03-06 00:00:00,Buy,1.0,222.29,222.34,222.29,222.34,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,17,18,2025-03-06 00:00:00,Buy,1.0,222.29,222.29,222.29,222.29,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,17,19,2025-03-06 00:00:00,Buy,1.0,222.29,222.34,222.29,222.34,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,18,19,2025-03-06 00:00:00,Buy,1.0,222.29,222.34,222.29,222.34,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,27,29,2025-02-11 00:00:00,Buy,2.0,230.28,230.34,460.56,460.68,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,39,41,2024-03-01 00:00:00,Buy,2.0,250.46,250.46,500.91,500.91,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,40,44,2024-03-01 00:00:00,Buy,20.0,250.36,250.36,5007.19,5007.19,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,42,43,2024-03-01 00:00:00,Buy,3.0,250.41,250.36,751.22,751.07,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,59,60,2022-11-25 00:00:00,Buy,2.0,241.7,241.65,483.4,483.3,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,67,69,2022-05-11 00:00:00,Buy,6.0,204.89,204.84,1229.35,1229.05,NSE,NSE
Ashok Leyland Ltd.xlsx,96,29,6,7,2025-10-17 00:00:00,Buy,50,136.5,137.47,6873.28,,BSE,NSE
Ashok Leyland Ltd.xlsx,96,29,16,31,2024-09-30 00:00:00,Sell,25,237.88,237.88,5947.1,5947.1,NSE,NSE
Ashok Leyland Ltd.xlsx,96,29,17,32,2024-09-30 00:00:00,Sell,4,237.89,237.89,951.55,951.55,NSE,NSE
Ashok Leyland Ltd.xlsx,96,29,18,27,2024-09-30 00:00:00,Sell,2,237.88,237.88,475.76,475.76,NSE,NSE
Ashok Leyland Ltd.xlsx,96,29,18,33,2024-09-30 00:00:00,Sell,2,237.88,237.88,475.76,475.76,NSE,NSE
Ashok Leyland Ltd.xlsx,96,29,18,35,2024-09-30 00:00:00,Sell,2,237.88,237.88,475.76,475.76,NSE,NSE
Ashok Leyland Ltd.xlsx,96,29,18,38,2024-09-30 00:00:00,Sell,2,237.88,237.88,475.76,475.76,NSE,NSE
Ashok Leyland Ltd.xlsx,96,29,19,21,2024-09-30 00:00:00,Sell,1,237.88,237.88,237.88,237.88,NSE,NSE
Ashok Leyland Ltd.xlsx,96,29,19,24,2024-09-30 00:00:00,Sell,1,237.88,237.88,237.88,237.88,NSE,NSE
Ashok Leyland Ltd.xlsx,96,29,19,26,2024-09-30 00:00:00,Sell,1,237.88,237.88,237.88,237.88,NSE,NSE
Ashok Leyland Ltd.xlsx,96,29,19,37,2024-09-30 00:00:00,Sell,1,237.88,237.88,237.88,237.88,NSE,NSE
Ashok Leyland Ltd.xlsx,96,29,21,24,2024-09-30 00:00:00,Sell,1,237.88,237.88,237.88,237.88,NSE,NSE
Ashok Leyland Ltd.xlsx,96,29,21,26,2024-09-30 00:00:00,Sell,1,237.88,237.88,237.88,237.88,NSE,NSE
Ashok Leyland Ltd.xlsx,96,29,21,37,2024-09-30 00:00:00,Sell,1,237.88,237.88,237.88,237.88,NSE,NSE
Ashok Leyland Ltd.xlsx,96,29,22,23,2024-09-30 00:00:00,Sell,5,237.89,237.89,1189.43,1189.43,NSE,NSE
Ashok Leyland Ltd.xlsx,96,29,22,29,2024-09-30 00:00:00,Sell,5,237.89,237.89,1189.43,1189.43,NSE,NSE
Ashok Leyland Ltd.xlsx,96,29,23,29,2024-09-30 00:00:00,Sell,5,237.89,237.89,1189.43,1189.43,NSE,NSE
Ashok Leyland Ltd.xlsx,96,29,24,26,2024-09-30 00:00:00,Sell,1,237.88,237.88,237.88,237.88,NSE,NSE
Ashok Leyland Ltd.xlsx,96,29,24,37,2024-09-30 00:00:00,Sell,1,237.88,237.88,237.88,237.88,NSE,NSE
Ashok Leyland Ltd.xlsx,96,29,26,37,2024-09-30 00:00:00,Sell,1,237.88,237.88,237.88,237.88,NSE,NSE
Ashok Leyland Ltd.xlsx,96,29,27,33,2024-09-30 00:00:00,Sell,2,237.88,237.88,475.76,475.76,NSE,NSE
Ashok Leyland Ltd.xlsx,96,29,27,35,2024-09-30 00:00:00,Sell,2,237.88,237.88,475.76,475.76,NSE,NSE
Ashok Leyland Ltd.xlsx,96,29,27,38,2024-09-30 00:00:00,Sell,2,237.88,237.88,475.76,475.76,NSE,NSE
Ashok Leyland Ltd.xlsx,96,29,33,35,2024-09-30 00:00:00,Sell,2,237.88,237.88,475.76,475.76,NSE,NSE
Ashok Leyland Ltd.xlsx,96,29,33,38,2024-09-30 00:00:00,Sell,2,237.88,237.88,475.76,475.76,NSE,NSE
Ashok Leyland Ltd.xlsx,96,29,35,38,2024-09-30 00:00:00,Sell,2,237.88,237.88,475.76,475.76,NSE,NSE
Ashok Leyland Ltd.xlsx,96,29,41,42,2024-03-27 00:00:00,Buy,100,170.55,170.95,17055.42,17095.42,NSE,NSE
